фразы,группы
"Привет, как дела?",Приветствие
"Что делаешь сегодня?",Вопрос
"Это моя любимая песня",Интересы
"Сколько тебе лет?",Вопрос
"Сегодня прекрасная погода",Погода
"Какой у тебя любимый фильм?",Интересы
"Какой у тебя любимый цвет?",Интересы
"Какой твой любимый спорт?",Интересы
"Где ты родился?",Вопрос
"Как тебя зовут?",Вопрос
"Какое твоё любимое время года?",Интересы
"Что ты обычно ешь на завтрак?",Вопрос
"Какая твоя профессия?",Вопрос
"Какой у тебя любимый цвет волос?",Интересы
"Какие виды музыки тебе нравятся?",Интересы
"Какой у тебя любимый домашний питомец?",Интересы
"Какая твоя любимая книга?",Интересы
"Что ты думаешь о футболе?",Интересы
"Какие твои планы на выходные?",Вопрос
"Как ты отдыхаешь после работы?",Вопрос
"Какое твоё любимое животное?",Интересы
"Какое твое любимое место для отдыха?",Интересы
"Что тебе нравится делать в свободное время?",Интересы
"Какой у тебя любимый вид спорта?",Интересы
"Какой твой любимый ресторан?",Интересы
"Какой твой самый любимый фрукт?",Интересы
"Что ты думаешь о политике?",Интересы
"Какие у тебя хобби?",Интересы
"Как ты проводишь выходные?",Интересы
"Какой твой любимый сезон?",Интересы
"Где ты работаешь?",Вопрос
"Какой твой знак зодиака?",Интересы
"Что тебе нравится больше всего в твоей работе?",Интересы
"Какое твое любимое время года?",Интересы
"Что ты думаешь о технологических новинках?",Интересы
"Какую музыку ты предпочитаешь слушать?",Интересы
"Какие книги ты любишь читать?",Интересы
"Какой у тебя любимый вид транспорта?",Интересы
"Что тебе нравится готовить?",Интересы
"Какой твой любимый фильм жанра комедия?",Интересы
"Какой твой любимый цвет?",Интересы
"Что ты думаешь о путешествиях?",Интересы
"Какую еду ты предпочитаешь?",Интересы
"Какой твой любимый спортивный клуб?",Интересы
"Где ты обычно проводишь выходные?",Интересы
"Какое твое любимое время суток?",Интересы
"Что тебя вдохновляет?",Интересы
"Какие виды фильмов ты предпочитаешь смотреть?",Интересы
"Какую музыкальную группу ты любишь слушать?",Интересы
"Какие книги ты советуешь прочитать?",Интересы
"Что тебя больше всего радует?",Интересы
"Где ты учился?",Вопрос
"Какой твой любимый вид киноискусства?",Интересы
"Что ты думаешь о фотографии?",Интересы
"Какое твое любимое время года для путешествий?",Интересы
"Что ты думаешь о социальных сетях?",Интересы
"Какую музыку ты слушаешь для расслабления?",Интересы
"Какие книги тебе помогают развиваться?",Интересы
"Какой вид транспорта ты считаешь наиболее удобным?",Интересы
"Что тебе нравится готовить на ужин?",Интересы
"Какой твой любимый фильм жанра драма?",Интересы
"Какой у тебя любимый цвет глаз?",Вопрос
"Что ты обычно ешь на завтрак?",Вопрос
"Какое у тебя самое любимое время года?",Вопрос
"Что ты обычно делаешь в выходные?",Вопрос
"Как ты относишься к спорту?",Вопрос
"Что ты думаешь о политике?",Вопрос
"Какие у тебя планы на будущее?",Вопрос
"Какой твой любимый вид транспорта для путешествий?",Вопрос
"Что тебе нравится делать в свободное время?",Вопрос
"Какой у тебя любимый спорт?",Вопрос
"Что ты обычно заказываешь в ресторане?",Вопрос
"Как ты предпочитаешь проводить вечер?",Вопрос
"Что ты думаешь о современных технологиях?",Вопрос
"Какие книги ты предпочитаешь читать?",Вопрос
"Какой твой любимый вид искусства?",Вопрос
"Что ты обычно делаешь в праздничные дни?",Вопрос
"Какой твой любимый вид активного отдыха?",Вопрос
"Что ты думаешь о современных фильмах?",Вопрос
"Какие твои планы на ближайшую неделю?",Вопрос
"Что тебе нравится делать во время отпуска?",Вопрос
"Какой твой любимый жанр музыки?",Вопрос
"Что тебя вдохновляет?",Вопрос
"Какое у тебя самое запоминающееся путешествие?",Вопрос
"Что ты думаешь о новых технологиях?",Вопрос
"Какое у тебя самое любимое время года для отдыха?",Вопрос
"Что ты обычно делаешь в свободные выходные дни?",Вопрос
"Как относишься к активному образу жизни?",Вопрос
"Что ты думаешь о настоящей политической ситуации?",Вопрос
"Какие у тебя долгосрочные планы?",Вопрос
"Что ты обычно предпочитаешь делать в свободное время?",Вопрос
"Какой твой любимый вид спорта для активного отдыха?",Вопрос
"Что ты обычно заказываешь в ресторане?",Вопрос
"Как проводишь свой вечер после работы?",Вопрос
"Что ты думаешь о развитии современных технологий?",Вопрос
"Какие книги тебе хотелось бы прочитать?",Вопрос
"Какой твой любимый жанр кино?",Вопрос
"Что ты обычно делаешь в праздничные дни?",Вопрос
"Какой твой любимый вид активного отдыха на природе?",Вопрос
"Что ты думаешь о современных фильмах и сериалах?",Вопрос
"Какие у тебя планы на ближайшие выходные?",Вопрос
"Что тебе нравится делать во время отпуска?",Вопрос
"Какой твой любимый жанр музыки для расслабления?",Вопрос